licence_id,full_licence_name,osi_approved,matching_paragraph,paragraph_before,paragraph_after
APL-1.0,Adaptive Public License 1.0,Yes,"THE LICENSED WORK IS PROVIDED UNDER THE TERMS OF THE ADAPTIVE PUBLIC LICENSE (""LICENSE"") AS FIRST COMPLETED BY: ______________________ [Insert the name of the Initial Contributor here]. ANY USE, PUBLIC DISPLAY, PUBLIC PERFORMANCE, REPRODUCTION OR DISTRIBUTION OF, OR PREPARATION OF DERIVATIVE WORKS BASED ON, THE LICENSED WORK CONSTITUTES RECIPIENT'S ACCEPTANCE OF THIS LICENSE AND ITS TERMS, WHETHER OR NOT SUCH RECIPIENT READS THE TERMS OF THE LICENSE. ""LICENSED WORK"" AND ""RECIPIENT"" ARE DEFINED IN THE LICENSE. A COPY OF THE LICENSE IS LOCATED IN THE TEXT FILE ENTITLED ""LICENSE.TXT"" ACCOMPANYING THE CONTENTS OF THIS FILE. IF A COPY OF THE LICENSE DOES NOT ACCOMPANY THIS FILE, A COPY OF THE LICENSE MAY ALSO BE OBTAINED AT THE FOLLOWING WEB SITE: ___________________________________________________[Insert Initial Contributor's Designated Web Site here]",PART 5: NOTICE,"Software distributed under the License is distributed on an ""AS IS"" basis, WITHOUT WARRANTY OF ANY KIND, either express or implied. See the License for the specific language governing rights and limitations under the License."
APSL-1.0,Apple Public Source License 1.0,Yes,"2. Permitted Uses; Conditions & Restrictions. Subject to the terms and conditions of this License, Apple hereby grants You, effective on the date You accept this License and download the Original Code, a world-wide, royalty-free, non-exclusive license, to the extent of Apple's Applicable Patents and copyrights covering the Original Code, to do the following:","1.8 ""You"" or ""Your"" means an individual or a legal entity exercising rights under this License. For legal entities, ""You"" or ""Your"" includes any entity which controls, is controlled by, or is under common control with, You, where ""control"" means (a) the power, direct or indirect, to cause the direction or management of such entity, whether by contract or otherwise, or (b) ownership of fifty percent (50%) or more of the outstanding shares or beneficial ownership of such entity.","2.1 You may use, copy, modify and distribute Original Code, with or without Modifications, solely for Your internal research and development, provided that You must in each instance:"
APSL-1.1,Apple Public Source License 1.1,Yes,"2. Permitted Uses; Conditions & Restrictions.  Subject to the terms and conditions of this License, Apple hereby grants You, effective on the date You accept this License and download the Original Code, a world-wide, royalty-free, non- exclusive license, to the extent of Apple's Applicable Patent Rights and copyrights covering the Original Code, to do the following:","1.9 ""You"" or ""Your"" means an individual or a legal entity exercising rights under this License.  For legal entities, ""You"" or ""Your"" includes any entity which controls, is controlled by, or is under common control with, You, where ""control"" means (a) the power, direct or indirect, to cause the direction or management of such entity, whether by contract or otherwise, or (b) ownership of fifty percent (50%) or more of the outstanding shares or beneficial ownership of such entity.","2.1 You may use, copy, modify and distribute Original Code, with or without Modifications, solely for Your internal research and development, provided that You must in each instance:"
APSL-1.2,Apple Public Source License 1.2,Yes,"2. Permitted Uses; Conditions & Restrictions.Subject to the terms and conditions of this License, Apple hereby grants You, effective on the date You accept this License and download the Original Code, a world-wide, royalty-free, non-exclusive license, to the extent of Apple's Applicable Patent Rights and copyrights covering the Original Code, to do the following:","1.10 ""You"" or ""Your"" means an individual or a legal entity exercising rights under this License. For legal entities, ""You"" or ""Your"" includes any entity which controls, is controlled by, or is under common control with, You, where ""control"" means (a) the power, direct or indirect, to cause the direction or management of such entity, whether by contract or otherwise, or (b) ownership of fifty percent (50%) or more of the outstanding shares or beneficial ownership of such entity.","2.1 You may use, reproduce, display, perform, modify and distribute Original Code, with or without Modifications, solely for Your internal research and development and/or Personal Use, provided that in each instance:"
APSL-2.0,Apple Public Source License 2.0,Yes,"2. Permitted Uses; Conditions & Restrictions.   Subject to the terms and conditions of this License, Apple hereby grants You, effective on the date You accept this License and download the Original Code, a world-wide, royalty-free, non-exclusive license, to the extent of Apple's Applicable Patent Rights and copyrights covering the Original Code, to do the following:","1.9 ""You"" or ""Your"" means an individual or a legal entity exercising rights under this License.  For legal entities, ""You"" or ""Your"" includes any entity which controls, is controlled by, or is under common control with, You, where ""control"" means (a) the power, direct or indirect, to cause the direction or management of such entity, whether by contract or otherwise, or (b) ownership of fifty percent (50%) or more of the outstanding shares or beneficial ownership of such entity.","2.1 Unmodified Code.  You may use, reproduce, display, perform, internally distribute within Your organization, and Externally Deploy verbatim, unmodified copies of the Original Code, for commercial or non-commercial purposes, provided that in each instance:"
Artistic-2.0,Artistic License 2.0,Yes,"(10)  Any use, modification, and distribution of the Standard or Modified Versions is governed by this Artistic License. By using, modifying or distributing the Package, you accept this license. Do not use, modify, or distribute the Package, if you do not accept this license.",General Provisions,"(11)  If your Modified Version has been derived from a Modified Version made by someone other than you, you are nevertheless required to ensure that your Modified Version complies with the requirements of this license."
BlueOak-1.0.0,Blue Oak Model License 1.0.0,Yes,## Acceptance,"This license gives everyone as much permission to work with
this software as possible, while protecting contributors
from liability.","In order to receive this license, you must agree to its
rules.  The rules of this license are both obligations
under that agreement and conditions to your license.
You must not do anything with this software that triggers
a rule that you cannot or will not follow."
CAL-1.0-Combined-Work-Exception,Cryptographic Autonomy License 1.0 (Combined Work Exception),Yes,### 2.2. Offer and Acceptance,"The terms of this License apply to the Work as you receive it from
Licensor, as well as to any modifications, elaborations, or
implementations created by You that contain any licensable portion of
the Work (a ""Modified Work""). Unless specified, any reference to the
Work also applies to a Modified Work.","This License is automatically offered to every person and
organization. You show that you accept this License and agree to its
conditions by taking any action with the Work that, absent this
License, would infringe any intellectual property right held by
Licensor."
CAL-1.0-Combined-Work-Exception,Cryptographic Autonomy License 1.0 (Combined Work Exception),Yes,"This License is automatically offered to every person and
organization. You show that you accept this License and agree to its
conditions by taking any action with the Work that, absent this
License, would infringe any intellectual property right held by
Licensor.",### 2.2. Offer and Acceptance,### 2.3. Compliance and Remedies
CAL-1.0-Combined-Work-Exception,Cryptographic Autonomy License 1.0 (Combined Work Exception),Yes,"A “Compatible Open Source License” means a license accepted by the Open Source 
Initiative that allows object code created using both Source Code provided under 
this License and Source Code provided under the other open source license to be 
distributed together as a single work.","Subject to the exception in section 4.5, You must provide to each
Recipient of a Modified Work Access to Source Code corresponding to
those portions of the Work remaining in the Modified Work as well as
the modifications used by You to create the Modified Work. The Source
Code corresponding to the modifications in the Modified Work must be
provided to the Recipient either a) under this License, or b) under a
Compatible Open Source License.",#### 4.1.3. Coordinated Disclosure of Security Vulnerabilities
CAL-1.0,Cryptographic Autonomy License 1.0,Yes,### 2.2. Offer and Acceptance,"The terms of this License apply to the Work as you receive it from
Licensor, as well as to any modifications, elaborations, or
implementations created by You that contain any licensable portion of
the Work (a ""Modified Work""). Unless specified, any reference to the
Work also applies to a Modified Work.","This License is automatically offered to every person and
organization. You show that you accept this License and agree to its
conditions by taking any action with the Work that, absent this
License, would infringe any intellectual property right held by
Licensor."
CAL-1.0,Cryptographic Autonomy License 1.0,Yes,"This License is automatically offered to every person and
organization. You show that you accept this License and agree to its
conditions by taking any action with the Work that, absent this
License, would infringe any intellectual property right held by
Licensor.",### 2.2. Offer and Acceptance,### 2.3. Compliance and Remedies
CAL-1.0,Cryptographic Autonomy License 1.0,Yes,"A “Compatible Open Source License” means a license accepted by the Open Source 
Initiative that allows object code created using both Source Code provided under 
this License and Source Code provided under the other open source license to be 
distributed together as a single work.","Subject to the exception in section 4.5, You must provide to each
Recipient of a Modified Work Access to Source Code corresponding to
those portions of the Work remaining in the Modified Work as well as
the modifications used by You to create the Modified Work. The Source
Code corresponding to the modifications in the Modified Work must be
provided to the Recipient either a) under this License, or b) under a
Compatible Open Source License.",#### 4.1.3. Coordinated Disclosure of Security Vulnerabilities
CATOSL-1.1,Computer Associates Trusted Open Source License 1.1,Yes,"PLEASE READ THIS DOCUMENT CAREFULLY AND IN ITS ENTIRETY. THE ACCOMPANYING PROGRAM IS PROVIDED UNDER THE TERMS OF THIS COMPUTER ASSOCIATES TRUSTED OPEN SOURCE LICENSE (""LICENSE""). ANY USE, REPRODUCTION, MODIFICATION OR DISTRIBUTION OF THE PROGRAM CONSTITUTES THE RECIPIENT'S ACCEPTANCE OF THIS LICENSE.","Computer Associates Trusted Open Source License
Version 1.1",License Background
CECILL-2.1,CeCILL Free Software License Agreement v2.1,Yes,"Software: means the software in its Object Code and/or Source Code form
and, where applicable, its documentation, ""as is"" when the Licensee
accepts the Agreement.","Agreement: means this license agreement, and its possible subsequent
versions and annexes.","Initial Software: means the Software in its Source Code and possibly its
Object Code form and, where applicable, its documentation, ""as is"" when
it is first distributed under the terms and conditions of the Agreement."
CECILL-2.1,CeCILL Free Software License Agreement v2.1,Yes,Licensee: means the Software user(s) having accepted the Agreement.,"Holder: means the holder(s) of the economic rights over the Initial
Software.",Contributor: means a Licensee having made at least one Contribution.
CECILL-2.1,CeCILL Free Software License Agreement v2.1,Yes,Article 3 - ACCEPTANCE,"The purpose of the Agreement is the grant by the Licensor to the
Licensee of a non-exclusive, transferable and worldwide license for the
Software as set forth in Article 5 <#scope> hereinafter for the whole
term of the protection granted by the rights over said Software.","3.1 The Licensee shall be deemed as having accepted the terms and
conditions of this Agreement upon the occurrence of the first of the
following events:"
CECILL-2.1,CeCILL Free Software License Agreement v2.1,Yes,"3.1 The Licensee shall be deemed as having accepted the terms and
conditions of this Agreement upon the occurrence of the first of the
following events:",Article 3 - ACCEPTANCE,"* (i) loading the Software by any or all means, notably, by
    downloading from a remote server, or by loading from a physical medium;
  * (ii) the first time the Licensee exercises any of the rights granted
    hereunder."
CECILL-2.1,CeCILL Free Software License Agreement v2.1,Yes,"3.2 One copy of the Agreement, containing a notice relating to the
characteristics of the Software, to the limited warranty, and to the
fact that its use is restricted to experienced users has been provided
to the Licensee prior to its acceptance as set forth in Article 3.1
<#accepting> hereinabove, and the Licensee hereby acknowledges that it
has read and understood it.","* (i) loading the Software by any or all means, notably, by
    downloading from a remote server, or by loading from a physical medium;
  * (ii) the first time the Licensee exercises any of the rights granted
    hereunder.",Article 4 - EFFECTIVE DATE AND TERM
CECILL-2.1,CeCILL Free Software License Agreement v2.1,Yes,"The Agreement shall become effective on the date when it is accepted by
the Licensee as set forth in Article 3.1 <#accepting>.",4.1 EFFECTIVE DATE,4.2 TERM
CECILL-2.1,CeCILL Free Software License Agreement v2.1,Yes,"The Licensor hereby grants to the Licensee, who accepts, the following
rights over the Software for any or all use, and for the term of the
Agreement, on the basis of the terms and conditions set forth hereinafter.",Article 5 - SCOPE OF RIGHTS GRANTED,"Besides, if the Licensor owns or comes to own one or more patents
protecting all or part of the functions of the Software or of its
components, the Licensor undertakes not to enforce the rights granted by
these patents against successive Licensees using, exploiting or
modifying the Software. If these patents are transferred, the Licensor
undertakes to have the transferees subscribe to the obligations set
forth in this paragraph."
CERN-OHL-P-2.0,CERN Open Hardware Licence Version 2 - Permissive,Yes,"2.1 This Licence governs the use, copying, modification, Conveying
      of Covered Source and Products, and the Making of Products. By
      exercising any right granted under this Licence, You irrevocably
      accept these terms and conditions.",2 Applicability,"2.2 This Licence is granted by the Licensor directly to You, and
      shall apply worldwide and without limitation in time."
CERN-OHL-S-2.0,CERN Open Hardware Licence Version 2 - Strongly Reciprocal,Yes,"2.1 This Licence governs the use, copying, modification, Conveying
      of Covered Source and Products, and the Making of Products. By
      exercising any right granted under this Licence, You irrevocably
      accept these terms and conditions.",2 Applicability,"2.2 This Licence is granted by the Licensor directly to You, and
      shall apply worldwide and without limitation in time."
CERN-OHL-W-2.0,CERN Open Hardware Licence Version 2 - Weakly Reciprocal,Yes,"2.1 This Licence governs the use, copying, modification, Conveying
      of Covered Source and Products, and the Making of Products. By
      exercising any right granted under this Licence, You irrevocably
      accept these terms and conditions.",2 Applicability,"2.2 This Licence is granted by the Licensor directly to You, and
      shall apply worldwide and without limitation in time."
CNRI-Python,CNRI Python License,Yes,"BY CLICKING ON ""ACCEPT"" WHERE INDICATED BELOW, OR BY COPYING, INSTALLING OR OTHERWISE USING PYTHON 1.6, beta 1 SOFTWARE, YOU ARE DEEMED TO HAVE AGREED TO THE TERMS AND CONDITIONS OF THIS LICENSE AGREEMENT.",IMPORTANT: PLEASE READ THE FOLLOWING AGREEMENT CAREFULLY.,"1. This LICENSE AGREEMENT is between the Corporation for National Research Initiatives, having an office at 1895 Preston White Drive, Reston, VA 20191 (""CNRI""), and the Individual or Organization (""Licensee"") accessing and otherwise using Python 1.6, beta 1 software in source or binary form and its associated documentation, as released at the www.python.org Internet site on August 4, 2000 (""Python 1.6b1"")."
CNRI-Python,CNRI Python License,Yes,"8. By clicking on the ""ACCEPT"" button where indicated, or by copying, installing or otherwise using Python 1.6b1, Licensee agrees to be bound by the terms and conditions of this License Agreement.","7. This License Agreement shall be governed by and interpreted in all respects by the law of the State of Virginia, excluding conflict of law provisions. Nothing in this License Agreement shall be deemed to create any relationship of agency, partnership, or joint venture between CNRI and Licensee. This License Agreement does not grant permission to use CNRI trademarks or trade name in a trademark sense to endorse or promote products or services of Licensee, or any third party.",ACCEPT
CNRI-Python,CNRI Python License,Yes,ACCEPT,"8. By clicking on the ""ACCEPT"" button where indicated, or by copying, installing or otherwise using Python 1.6b1, Licensee agrees to be bound by the terms and conditions of this License Agreement.",
CPAL-1.0,Common Public Attribution License 1.0,Yes,1.4 “Electronic Distribution Mechanism” means a mechanism generally accepted in the software development community for the electronic transfer of data.,"1.3 “Covered Code” means the Original Code or Modifications or the combination of the Original Code and Modifications, in each case including portions thereof.",1.5 “Executable” means Covered Code in any form other than Source Code.
CPAL-1.0,Common Public Attribution License 1.0,Yes,"3.2 Availability of Source Code.
Any Modification which You create or to which You contribute must be made available in Source Code form under the terms of this License either on the same media as an Executable version or via an accepted Electronic Distribution Mechanism to anyone to whom you made an Executable version available; and if made available via Electronic Distribution Mechanism, must remain available for at least twelve (12) months after the date it initially became available, or at least six (6) months after a subsequent version of that particular Modification has been made available to such recipients. You are responsible for ensuring that the Source Code version remains available even if the Electronic Distribution Mechanism is maintained by a third party.","3.1 Application of License.
The Modifications which You create or to which You contribute are governed by the terms of this License, including without limitation Section 2.2. The Source Code version of Covered Code may be distributed only under the terms of this License or a future version of this License released under Section 6.1, and You must include a copy of this License with every copy of the Source Code You distribute. You may not offer or impose any terms on any Source Code version that alters or restricts the applicable version of this License or the recipients’ rights hereunder. However, You may include an additional document offering the additional rights described in Section 3.5.","3.3 Description of Modifications.
You must cause all Covered Code to which You contribute to contain a file documenting the changes You made to create that Covered Code and the date of any change. You must include a prominent statement that the Modification is derived, directly or indirectly, from Original Code provided by the Initial Developer and including the name of the Initial Developer in (a) the Source Code, and (b) in any notice in an Executable version or related documentation in which You describe the origin or ownership of the Covered Code."
CPL-1.0,Common Public License 1.0,Yes,"THE ACCOMPANYING PROGRAM IS PROVIDED UNDER THE TERMS OF THIS COMMON PUBLIC LICENSE (""AGREEMENT""). ANY USE, REPRODUCTION OR DISTRIBUTION OF THE PROGRAM CONSTITUTES RECIPIENT'S ACCEPTANCE OF THIS AGREEMENT.",Common Public License Version 1.0,1. DEFINITIONS
